site_ID,label,title,variant _Akkadian,type,sub_type,title_source,t-s_pages,URUK_relations,URUK_probability,place_terms,determinatives,language,lanuage_prop,proper_nouns,p-n_type,p-n_type_prop,variant_modern,notes,LOC_details,LOC-1,LOC-1_probability,LOC-2,LOC-3,LOC-4,LOC-5,ccode,CDLI,Pleiades
M3910,WLSB,Ḫarru-ša-Lābāši,{i7}ḫar-ri šá {m}la-ba-ši šá NAM UNU{ki}; {i7}ḫar-ri šá {m}la-ba-ši; {i7}ḫar-ri šá {m}la-a-ba-ši; ḫar-ri šá {m}la-ba-ši; ḫar-ri šá {m}la-ba-a-ši; {i7}ḫar-ri […] ,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,356,Near URUK,,Ḫarru,I7; m; ki,Iso639-3.sil.org/code/akk,,Lâbâši,Personal,,,,Along LOC-1,M8964,Probable,,,,,IQ,,
M8427,WNLB,Nāru-Labīru,I{7} la-bi-ri; I{7}LIBIR.RA,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,388,In & Near URUK,,Nar(u),***,Iso639-3.sil.org/code/akk,,Labīru,Appellative,,,Multiple Iterations,,,,,,,,IQ,,
M2405,WHAR,Ḫarru,{i7}ḫar-ri,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,352,Not far from URUK,Probable,Ḫarru,I7,Iso639-3.sil.org/code/akk,,***,,,,Multiple Iterations; In URUK; possibly generic; reference to M6955,,,,,,,,IQ,,
M5876,WBLN,Bitqu-ša-Ladnanu,bit-qa šá la-ad-na-nu,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,140,URUK Region,,Bitqu,***,Iso639-3.sil.org/code/akk,Possible,Ladnanu,*unclear*,,,,,,,,,,,IQ,,
M4216,TLHR,Til-Laḫrāti,DU{6}-U{8}{meš} ka-le-e LUGAL,,,ZadokGeographicalNamesAccording1985,311,Not far from URUK,Perhaps,Til,meš,Iso639-3.sil.org/code/akk,,Laḫrāti,Appellative,,,,,,,,,,,IQ,,
M8171,WLMS,Nār-Lamassi,I{7}-{d}LAMMA,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,375,In URUK,,Nar(u),d,Iso639-3.sil.org/code/akk,,Lamassi,Appellative,,,,,,,,,,,IQ,,
M3381,SALN,Àlu-ša-Lanē,U[R]U šá {m}la-né-e,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,13,Not far from URUK,Possible,Àlu,m,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Lanē,Personal,,,See ZadokGeographicalNamesAccording1985 for Spelling Issues,,,,,,,,IQ,,
M9634,WNLS,Nār-Lasūtu,I{7}-la-su-tu{4},vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,376,URUK Region,,Nar(u),***,Iso639-3.sil.org/code/sem,Possible,Lasūtu,Place,,,,"Tributary of LOC-1; Parallel to LOC-2, LOC-3",M4874,,M7509,M8893,,,IQ,,
M5441,SBLG,Bīt-Lugal-banda,{uru}É-{d}lugal-banda,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,95,Not far from URUK,Probable,Bit,uru; d,Iso639-3.sil.org/code/sux; Iso639-3.sil.org/code/akk,,Lugal-banda,Divine,,,,,,,,,,,IQ,,
M1100,SBMH,Bāb-maḫīri,{uru}KÁ-KI.LAM; KÁ-KI.LAM,vocab.getty.edu/page/aat/300008347,vocab.getty.edu/page/aat/300008372,ZadokGeographicalNamesAccording1985,59,Northeast of URUK Wall,,Bab,uru,Iso639-3.sil.org/code/akk,,Maḫīri,Appellative,,,,Not far from LOC-1,M1853,,,,,,IQ,,
M7654,WSMH,Ḫarru-ša-māḫiṣē,{i7}ḫar-ri šá {lú}ma-ḫi-ṣe-e,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,356,URUK Region,,Ḫarru,I7; lú,Iso639-3.sil.org/code/akk,,Māḫiṣē,Appellative,,,AKA M7654,Flowed East of LOC-1,M1850,,,,,,IQ,,
M9340,GBMB,Bīt-mār-Bābili,{garim}É-DUMU-TIN.TI[R{ki}],,,ZadokGeographicalNamesAccording1985,95-96,Near URUK,,Bit,garim; ki,Iso639-3.sil.org/code/sux; Iso639-3.sil.org/code/akk,,Mār-Bābili,Appellative,,,Mutiple Iterations,In LOC-1,M4029,Possible,,,,,IQ,,
M5446,SAMS,Àlu-ša-mār-šarri,URU šá DUMU-LUGAL,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,14,Not far from URUK,Possibe,Àlu,***,Iso639-3.sil.org/code/akk,,Mār-Šarri,Professional,,,,,,,,,,,IQ,,
M5357,HSMS,Ḫuṣṣēti-ša-mār-šarri,ḫu-uṣ-ṣe-e-ti šá DUMU-LUGAL,,,ZadokGeographicalNamesAccording1985,174,Not far from URUK,,Ḫuṣṣēti,***,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Mār-Šarri,Professional,,,LEFT Bank of LOC-2,In LOC-1; Bank of LOC-2,M4029,,M1853,,,,IQ,,
M1425,BHMI,Bāb-Ḫarri-Marduk-apla-iddin,{uru}KÁ-ḫar-ri {md}AMAR.UTU-A-MU; {lú}GAL-ka-a-ri šá KÁ-{I7}ḫar-ri; KÁ-ḫar-ri,vocab.getty.edu/page/aat/300004790,vocab.getty.edu/page/aat/300006073,ZadokGeographicalNamesAccording1985,38,Not far from URUK,,Bab,uru; m; d; lú; I7,Iso639-3.sil.org/code/akk,,Marduk-Apla-Iddina,Personal,,,,On LOC-1,M5985,,,,,,IQ,,
M5985,WMAI,Ḫarru-ša-Marduk-apla-iddina,{i7}ḫar-ri šá {md}AMAR.UTU-DUMU.UŠ-MU; {i7}ḫar-ri šá [{md}AMAR.UTU-DUM]U.UŠ-SUM{na} ,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,357,URUK Region,,Ḫarru,I7; m; d; na,Iso639-3.sil.org/code/akk,,Marduk-Apla-Iddina,Personal,,,"M4312 is ""Ḫarru-ša-Nabû-šuma-līšir,"" LOC-3 refers to ""Nar…""; See M1425","Near LOC-1, LOC-2, LOC-3",M9874,,M3174,M4312,,,IQ,,
M5290,WNMR,Nār-Marduk-apla-iddina ,--none--,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,156,URUK Region,,Nar(u),***,Iso639-3.sil.org/code/akk,,Marduk-Apla-Iddina,Personal,,,,,,,,,,,IQ,,
M2145,GSMR,Šīḫu-ša-Marduk-apla-uṣur,ši-i-ḫu šá {md}ŠÚ-A-PAP AŠ {i7}ḫi-il-ti,,,ZadokGeographicalNamesAccording1985,293,Near URUK,,Šīḫu,m; d; i7,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Marduk-apla-uṣur,Personal,,,,In LOC-1; On LOC-2,M4029,Possible,M1365,,,,IQ,,
M6753,STMS,Til-Massaka,{uru}DU{6}-ma-as-sa-ka,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,311,Not far from URUK,Perhaps,Til,uru,Iso639-3.sil.org/code/sem,,Massaka,Personal,,,,,M4029,,,,,,IQ,,
M6638,WMKR,Nār-Mekīri ,ÍD me-ki-ri,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,156,Towards URUK,,Nar(u),***,Iso639-3.sil.org/code/akk,Possible,Mekīri,*unclear*,,,,Not far from LOC-1 ,M7808,,,,,,IQ,,
M7199,WHRX,Ḫarru-[  ],{i7}ḫar-ri[...],vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,360,Mentioned with URUK,,Ḫarru,I7,Iso639-3.sil.org/code/akk,Possible,***,,,,,,,,,,,,IQ,,
M5799,SBNB,Bīt-Nabû,{uru}É-{d}AG; {garim}É-{d}AG; É-{d}AG,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,96,URUK Region,,Bit,uru; d; garim,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Nabû,Divine,,,LEFT Bank of LOC-1,"Bank of LOC-1; Not far from LOC-2, LOC-3",M1853,,M3449,M8073,,,IQ,,
M8552,WHLT,Ḫiltu,{i7}ḫi-il-ti; {i7}ḫi-il-tu{4},vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,360,***,,Ḫiltu,***,Iso639-3.sil.org/code/akk,,***,,,,,Flowed in LOC-1; In LOC-2 Region,M1626,,M5688,,,,IQ,,
M5794,WTIG,Idiqlat,{i7}i-di-iq-lat; ì-diq-lat; {i7}ì-diq-lat; {i7}di-iq-lat; {i7}diq-lat; {i7}IDIGNA; É-ka-a-du AŠ UGU {i7}IDIGNA,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,361,***,,,***,Iso639-3.sil.org/code/sux; Iso639-3.sil.org/code/akk,,***,,,,Alternate Title: Tigris; Refers to ANCIENT tracks of river,,,,,,,,IQ,,
M3332,SZAM,Zamē,{uru}za-a-me-e; {uru}za-a-me-e,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985; BaggOrtsUndGewassernames2020,333; 616,URUK Region,Possible,,uru,Iso639-3.sil.org/code/sem,Possible,***,,,,Multiple Iterations; named for Tribal Regions near M8809,Near LOC-1; On LOC-2,M8909,,M3174,,,,IQ,,
M7395,WNHL,Naḫal,{i7}na-ḫal,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,363,***,,,***,Iso639-3.sil.org/code/sem,,***,,,,See M7980,Not far from LOC-1 ,M2668,,,,,,IQ,,
M5897,WNSP,Namri-saparrāta,{i7}nam-ri-sa-par-ra-a-ta; I{7}!-sa-par-ra-a-tu{4},vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,364,URUK Region,,,***,Iso639-3.sil.org/code/sem,Possible,***,,,,see M7590 for language ID; LEFT Bank Tributary,Tributary of LOC-1; Flowed in LOC-2,M4874,,M7590,,,,IQ,,
M1797,CKNB,Kār-Nabû, --unclear--,vocab.getty.edu/page/aat/300004790,vocab.getty.edu/page/aat/300006073,ZadokGeographicalNamesAccording1985,"504, 509",***,,Kar,***,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Nabû,Divine,,,,In LOC-1,M2668,,,,,,IQ,,
M1519,GHNB,Ḫiltu-ša-Bīt-Nabû,{garim}ḫi-il-ti šá É-{d}PA,,,ZadokGeographicalNamesAccording1985,160,Near URUK,,Ḫiltu,garim; d,Iso639-3.sil.org/code/akk,,Nabû,Divine,,,,In LOC-1,M4029,Possible,,,,,IQ,,
M3643,GHBN,Ḫubaba-ša-Bīt-Nabû,{garim}ḫu-ba-ba šá É-{d}PA,,,ZadokGeographicalNamesAccording1985,163,Near URUK,,,garim; d,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Nabû,Divine,,,,In LOC-1,M4029,Possible,,,,,IQ,,
M6458,GTNI,Tamertu-ša-Nabû-aḫa-iddina,GARIM šá {md}AG-ŠEŠ-MU,,,ZadokGeographicalNamesAccording1985,304,Near URUK,,Tamertu,m; d,Iso639-3.sil.org/code/akk,,Nabû-aḫa-iddina,Personal,,,,In LOC-1,M4029,Possible,,,,,IQ,,
M2464,SANB,Àlu-ša-Nabû-bān-aḫi,URU šá {md}AG-DÙ-ŠEŠ,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,15,Not far from URUK,,Àlu,m; d,Iso639-3.sil.org/code/akk,,Nabû-Bān-Aḫi,Personal,,,,On LOC-1,M8108,Probable,,,,,IQ,,
M5144,SHNB,Ḫuṣṣēti-ša-Nabû-bān-aḫi,{uru}ḫu-uṣ-ṣe-e-ti šá {md}AG-DÙ-ŠEŠ,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,174,URUK Region,Probable,Ḫuṣṣēti,uru; m; d,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Nabû-bān-aḫi,Personal,,,,Mentioned with LOC-1,M4391,,,,,,IQ,,
M6010,WNET,Ḫarru-ša-Nabû-ēṭir,{i7}ḫar-ri šá {md}AG-SUR,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,357,North of URUK,,Ḫarru,I7; m; d,Iso639-3.sil.org/code/akk,,Nabû-ēṭir,Personal,,,,Flowed in LOC-1; in LOC-2 Region,M5426,,M5454,,,,IQ,,
M9952,WSNI,Saḫiru-ša-Nabû-iqīša,{i7}sa-ḫi-ru šá {md}AG-BA{šá} NÌ.GA {d}GAŠAN UNU{ki},vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,398,URUK Region,,,m; d; šá; ki,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Nabû-iqīša,Personal,,,,,,,,,,,IQ,,
M4499,SHNN,Ḫuṣṣēti-ša-Nabû-nāṣir,{garim}qat-nu AŠ ḫu-uṣ-ṣe-e-tú šá {md}AG-PAP,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,175,Near URUK,,Ḫuṣṣēti,garim; m; d,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Nabû-nāṣir,Personal,,,Multiple Iterations,In LOC-1,M4029,Possible,,,,,IQ,,
M1690,SANS,Àlu-ša-Nabû-šuma-iddina,URU šá {md}AG-MU-MU,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,16,Not far from URUK,Perhaps,Àlu,m; d,Iso639-3.sil.org/code/akk,,Nabû-Šuma-Iddina,Personal,,,,,,,,,,,IQ,,
M4312,WHNS,Ḫarru-ša-Nabû-šuma-līšir,{i7}ḫar-ri šá {md}AG-MU-GIŠ; KÁ-{i7}ḫar-ri šá {md}AG-MU-GIŠ ,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,357,URUK Region,,Ḫarru,I7; m; d,Iso639-3.sil.org/code/akk,,Nabû-šuma-līšir,Personal,,,,"Near LOC-1, LOC-2, LOC-3",M9874,,M3174,M5985,,,IQ,,
M3720,WHNU,Ḫarru-ša-Nabû-ušallim,{i7}ḫar-ri šá {md}AG-GI,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,357,Near URUK,Probable,Ḫarru,I7; m; d,Iso639-3.sil.org/code/akk,,Nabû-ušallim,Personal,,,,,,,,,,,IQ,,
M3678,SHNL,Ḫuṣṣēti-ša-Nabû-zēra-līšir,[{uru}ḫu-uṣ-[ṣ]e-e-ti] šá {md}AG-NUNUN-GIŠ NÌ.GA {d}INNIN UNU{ki} u {d}na-na-a,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,175,Not far from URUK,Probable,Ḫuṣṣēti,uru; m; d; ki,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Nabû-zēra-līšir,Personal,,,,,,,,,,,IQ,,
M7966,WHND,Ḫarru-ša-Nadnāya,ÍD ḫar-ri šá {d}SUM-na-a; ÍD ḫar-ri [šá] {d}SUM-[na-a]; ÍD ḫar-ri šá {d}[SUM-na-a]; [ÍD ḫar-ri šá {d}SUM-na-a]{?}; [ÍD ḫa]-ri šá {d}SUM-na-a,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,147,URUK Region,,Ḫarru,d,Iso639-3.sil.org/code/akk,Possible,Nadnāya,*unclear*,,,,,,,,,,,IQ,,
M2868,BNGT,Bāb-Nagīti,KÁ-na-gi-ti,vocab.getty.edu/page/aat/300004790,vocab.getty.edu/page/aat/300006073,ZadokGeographicalNamesAccording1985,59,Not far from URUK,,Bab,***,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Nagīti,Place,,,,In LOC-1,M4029,,,,,,IQ,,
M6240,WNKK,Nār-Nakkandi,NÌ.GA {d}INNIN UNU{ki} u {d}na-na-a A.ŠA {giš}KIRI{6}.MAḪ šá GÚ I{7}-nak-kan-du,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,378,In URUK,Possible,Nar(u),d; ki; giš; ,Iso639-3.sil.org/code/akk,,Nakkandi,Appellative,,,Flowed in Kirimāḫu Quarter of URUK,,,,,,,,IQ,,
M2678,BNLM,Bāb-nalmē,KÁ-na-al-me-e,vocab.getty.edu/page/aat/300004790,vocab.getty.edu/page/aat/300006073,ZadokGeographicalNamesAccording1985,59,Not far from URUK,Probable,Bab,***,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Nalmē,Appellative,,,,,M4029,,,,,,IQ,,
M6633,DSNN,Dimtu-ša-Nanâ,di-in-du šá {d}na-na-a,,,ZadokGeographicalNamesAccording1985,119,Near URUK,,,d,Iso639-3.sil.org/code/akk,,Nanâ,Divine,,,,In LOC-1,M4029,Possible,,,,,IQ,,
M5806,CKNN,Kār-Nanâ,{uru}KAR-{d}na-na-a ši-i-ḫi šá {d}GAŠAN šá UNU{ki}; {uru}kar-{d}na-na-a; {uru}ka-ri-{d}na-na-a ši-i-ḫu šá {d}GAŠAN šá (copy: SU!) UNU{ki}; {garim}KAR-{d}na-na-a ši-ḫi šá {d}GAŠAN šá UNI{ki} šá UGU{ḫi} {I7}tak-kìr; {garim}KAR-{d}na-na-a ši-i-ḫu šá {d}GAŠAN šá UNU{ki}; KAR-{d}na-na-a ši-i-ḫi šá {d}GAŠAN šá UNU{ki}; KAR-{d}na-na-a ši-i-ḫu šá {d}GAŠAN šá UNU{ki}; KAR (!)-{d}na-na-a; ši-ḫi šá {d}GAŠAN šá UNU{ki} šá KAR-{d}na-na-a; {uru}É (?)-[xxx]{ki} KAR-{d}na-na-a ši-i-ḫu šá {d}GAŠAN šá UNU{ki}; {uru}bit-qu šá {md}EN-SUR [K]AR-{d}na-na-a ši-i-ḫu šá {d}GAŠAN šá UNU{ki}; KAR-{d}na-na-a,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,197,URUK Region,Probable,Kar,uru; ,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Nanâ,Divine,,,,On LOC-1,M8711,Probable,,,,,IQ,,
M2885,TSNN,Tillē-ša-Nanâ,bi-rit DU{6}{meš} šá {d}na-na-a,,,ZadokGeographicalNamesAccording1985,311,Near URUK,,Til,meš; d,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,Nanâ,Divine,,,,In LOC-1,M4029,Possible,,,,,IQ,,
M3779,TNNA,Til-Nanâ,DU{6}-{d}na-na-[a]<<šá>>ši-<ḫi> šá {d}GAŠAN šá UNU{ki} šá UGU ḫar-ri šá {m}la-ba-ši,,,ZadokGeographicalNamesAccording1985,312,Not far from URUK,,Til,d; ki; m,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,Nanâ,Divine,,,,On LOC-1,M4029,,,,,,IQ,,
M4884,WEST,Nāru-Eššetu,I{7}eš-še-ti NÌ.GA {d}INNIN UNU{ki} a {d}na-na-a; I{7}eš-še-ti; I{7}eš-šú,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,387,Near URUK,,Nar(u),d; ki,Iso639-3.sil.org/code/akk,,Eššetu,Appellative,,,See Nāru-eššu,,,,,,,,IQ,,
M8814,WESS,Nāru-Eššu,I{7} eš-šu mi-iḫ-ra-at KÁ.GAL-{d}EN.LÍL pi-ḫa-at DIN.TIR{ki}; I{7}-eš-šu; I{7} GIBIL; I{7} eš-šu e-lu-ú GABA KÁ.GAL-{d}EN.LÍL NAM TIN.TIR{ki}; I{7} eš-šu e-lu-ú;  I{7} eš-šú UGU{ú}; I{7} eš-šú AN.TA; I{7} GIBIL UGU{ú}; I{7} eš-šú šap-lu-ú; I{7} eš-šú x(x) x,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,387,***,,Nar(u),d; ki; giš; ú; ,Iso639-3.sil.org/code/akk,,Eššu,Appellative,,,"See Nāru-eššetu (ZadokGeographicalNamesAccording1985, 387); LOC-1 is specificlly ENLIL GATE",Near LOC-1,M8809,,,,,,IQ,,
M7529,WNAN,Nāru-ša-Nanâ,I{7} šá {d}na-na-a,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,392,Near URUK,,Nar(u),d,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,Possible,Nanâ,Divine,,,Presumably AKA M6878,Near LOC-1,M7140,,,,,,IQ,,
M6878,WSNN,Ḫarru-ša-Nanâ,KI{tì} {i7}ḫar-ri šá {d}na-na-a šá qé-reb UNU{ki}; {i7}ḫar-ri šá {d}na-na-a šá NAM UNU{ki}; {i7}ḫar-ri šá {d}na-na-a e-li-nu-ú; {i7}ḫar-ri šá {d}na-na-a,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,357-358,In & Near URUK,,Ḫiltu,tì; I7; d; ki,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Nanâ,Divine,,,Presumably Equivalent to M7529,,,,,,,,IQ,,
M8711,WKNN,Nār-Kār-Nanâ,I{7}-kar-{d}na-na-a,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,374,URUK Region,Probable,Nar(u),d,Iso639-3.sil.org/code/akk,,Nanâ,Divine,,,,Flows in LOC-1,M5806,Probable,,,,,IQ,,
M5084,KSNQ,Kapri-ša-nāqidāti, --none--,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,"500, 507, 508",***,,Kapri,***,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Nāqidāti,Appellative,,,"LOC-2 is possibly M4884, see ZadokNewDocumentsUruk2020 & YOS 7, 181",In LOC-1; On LOC-2,M4432,,M8814,,,,IQ,,
M8274,WNNK,Nār-Nāš-Kāpiri,KÁ-I{7}-na-áš-ka-pi-ru,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,378,Not far from URUK,Possible,Nar(u),***,Iso639-3.sil.org/code/akk,,Nāš-Kāpiri,Appellative,,,,,,,,,,,IQ,,
M7828,WNBR,Nāru nēberu ,ÍD né-bé-ri,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,161,URUK Region,,Nar(u),***,Iso639-3.sil.org/code/akk,Possible,Nēberu,Appellative,,,,,,,,,,,IQ,,
M6674,WHSN,Ḫarru-ša-Nēri,ÍD ḫar-ri šá GÍŠ+U{àm},vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,148,In URUK,,Ḫarru,àm,Iso639-3.sil.org/code/akk,Possible,Nēri,*unclear*,,,,In LOC-1,M7140,,,,,,IQ,,
M5818,WHNR,Ḫarru-ša-Ninurta,"{i7}ḫar-ri šá {d}MAŠ; ""ḫarri(?) ša ninurta"" ",vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,358,In URUK,,Ḫarru,I7; d,Iso639-3.sil.org/code/sux; Iso639-3.sil.org/code/akk,,Ninurta,Divine,,,Flowed Near NINURTA Temple (URUK),,,,,,,,IQ,,
M9243,SKNN,Kār-Ninurta,{uru}KAR-{d}nin-urta,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,197,Not far from URUK,Perhaps,Kar,uru; d,Iso639-3.sil.org/code/sux; Iso639-3.sil.org/code/akk,,Ninurta,Divine,,,Multiple Iterations,Near LOC-1,M4746,Possible,,,,,IQ,,
M8859,WNNQ,Nār-Nīš-qāti ,ÍD-niš-qá-tu{4},vocab.getty.edu/page/aat/300006073,,ErmidoroNewDataBabylonian2016,157,URUK Region,,Nar(u),***,Iso639-3.sil.org/code/akk,Possible,Nīš-qāti,Personal,,,,,,,,,,,IQ,,
M4874,WTKK,Takkīru,{i7}tak-ki-ru; AMA A.ŠÀ šá A.ŠÀ šá {i7}tak-ki-ru; {i7}tak-ki-ri ši-i-ḫu šá {d}INNIN UNU{ki}; {i7}tak-ki-ri NÌ.GA {d}INNIN UNU{ki} u {d}na-na-a; ta]k-ki-ri NÌ.GA {d}INNIN UNU{ki} [u {d}n]a-na-a; {i7}tak-ki-ri; KÁ-{i7}tak-ki-ri; {i7}tak-ki-[ri/ru]; tak-ki-ri; {i7}ta-ki-ru; {i7}tak-kìr; {i7}tak-kìr ši-i-ḫu šá {d}GAŠAN šá UNU{ki}; {i7}tak-kìr NÌ.GA {d}GAŠAN šá UNU{ki} u {d}na-na-a; {i7}tak-kìr,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,400,Not far from URUK,,,I7; d; ki,Iso639-3.sil.org/code/akk,,***,,,,,,,,,,,,IQ,,
M6213,BNUR,Bīt-Nūrea,É-{m}ZALÁG-e-a; A.ŠÀ É-{m}ZALÁG-e-[a],,,ZadokGeographicalNamesAccording1985,99,***,,Bit,m,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Nūrea,Personal,,,,"In LOC-1; Near LOC-2, LOC-3, LOC-4",M5454,,M2595,M3174,M6779,,IQ,,
M1298,WHPQ,Ḫarri-Piqūdu,{i7}ḫar-ri-pi-qu-du; PN šá UGU GIŠ.BAR šá {i7}ḫar-ri-pi-qu-du; PN šá UGU{ḫi} GIŠ.BAR šá {i7}ḫar-ri-pi-qu-du u {i7}su-ú-ru; ḫar-ri-pi-qu-du; [{i7}ḫar-ri-p]i-qu-du; {i7}ḫar-ri-pi-qu-ud; {i7}ḫar-ri-pi-qud; PN šá DIŠ UGU{ḫi} {giš}BAR šá {i7}ḫar-ri-pi-qud; {i7}ḫar-ri-pi-qud; PN {lú}DI.KU{5} šá {i7}ḫar-ri-pi-qud; i7}ḫar-pi-qud,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,351,Towards URUK,,Ḫarru,I7; ḫi; giš; lú,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Piqūdu,Place,,,See Nār-Piqūdu,"Flowed East of LOC-1, Towards LOC-2",M8809,,M4628,,,,IQ,,
M9300,WNPQ,Nār-Piqûdu,I{7}-pi-qu-du; {lú}ša UGU GIŠ.BAR šá UGU I{7}-{uru}pi-qu-du,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,379,***,,Nar(u),lú; uru,Iso639-3.sil.org/code/sem,,Piqūdu,Place,,,Identical to M1298; See Piqûti,,,,,,,,IQ,,
